Timestamp,AccX,AccY,AccZ,MagX,MagY,MagZ,GyrX,GyrY,GyrZ,LinAccX,LinAccY,LinAccZ
1698280200038,1.0151415,0.36631286,9.765948,0.95114154,0.47537157,9.748833,NaN,NaN,NaN,NaN,NaN,NaN
1698280200037,NaN,NaN,NaN,NaN,NaN,NaN,-0.0036651916,0.007330383,0.0,-0.047884032,-0.031124622,-0.011971008
1698280200047,0.9624691,0.39504328,9.873688,0.9511085,0.47524187,9.748842,-0.0036651916,0.0061086523,-0.0012217305,NaN,NaN,NaN
1698280200048,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.059855044,-0.019153614,0.016759412
1698280200057,0.94570965,0.34476504,9.749189,NaN,NaN,NaN,-0.002443461,0.002443461,0.0,0.007182605,0.009576807,0.12449849
1698280200058,NaN,NaN,NaN,0.9513305,0.47463313,9.74885,NaN,NaN,NaN,NaN,NaN,NaN
1698280200067,0.94810385,0.33518824,9.753978,NaN,NaN,NaN,0.0,-0.002443461,0.0,-0.0047884034,-0.038307227,0.0
1698280200068,NaN,NaN,NaN,0.95128256,0.4724354,9.748962,NaN,NaN,NaN,NaN,NaN,NaN
1698280200078,0.89543146,0.34715924,9.7803135,0.95207524,0.47244203,9.748884,0.0012217305,-0.002443461,-0.0012217305,NaN,NaN,NaN
1698280200077,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.0023942017,-0.047884032,0.0023942017
1698280200087,0.9528923,0.4189853,9.758766,0.9520769,0.47157595,9.748926,NaN,NaN,NaN,-0.059855044,-0.021547815,0.02873042
1698280200088,NaN,NaN,NaN,NaN,NaN,NaN,0.004886922,-0.004886922,-0.0012217305,NaN,NaN,NaN
1698280200097,1.0007763,0.37828386,9.813833,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1698280200098,NaN,NaN,NaN,0.95358026,0.47161093,9.748777,0.004886922,-0.007330383,-0.0012217305,0.0047884034,0.050278235,0.007182605
1698280200107,0.91458505,0.4189853,9.830592,NaN,NaN,NaN,0.004886922,-0.007330383,-0.0012217305,NaN,NaN,NaN
1698280200108,NaN,NaN,NaN,0.9558432,0.4739707,9.748441,NaN,NaN,NaN,0.05267244,0.009576807,0.062249243
1698280200118,0.92655605,0.45729253,9.739613,NaN,NaN,NaN,NaN,NaN,NaN,-0.033518825,0.050278235,0.079008654
1698280200117,NaN,NaN,NaN,0.9569466,0.4752357,9.748271,0.0012217305,0.0,0.0,NaN,NaN,NaN
1698280200128,0.92416185,0.4141969,9.78989,NaN,NaN,NaN,NaN,NaN,NaN,-0.019153614,0.074220255,-0.009576807
1698280200127,NaN,NaN,NaN,0.9572686,0.47552952,9.748225,0.0012217305,0.0036651916,-0.0012217305,NaN,NaN,NaN
1698280200137,0.94092125,0.45729253,9.830592,0.9574413,0.4764259,9.748164,NaN,NaN,NaN,NaN,NaN,NaN
1698280200138,NaN,NaN,NaN,NaN,NaN,NaN,0.002443461,0.002443461,-0.0012217305,-0.019153614,0.019153614,0.038307227
1698280200147,0.93134445,0.44532153,9.799467,0.9576065,0.47725558,9.748108,NaN,NaN,NaN,NaN,NaN,NaN
1698280200148,NaN,NaN,NaN,NaN,NaN,NaN,0.0012217305,0.0012217305,-0.0012217305,-0.0023942017,0.062249243,0.079008654
1698280200157,0.9911995,0.37588966,9.746795,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1698280200158,NaN,NaN,NaN,0.95817465,0.47555825,9.748135,-0.0012217305,0.0012217305,-0.0012217305,-0.007182605,0.038307227,0.047884032
1698280200168,0.91458505,0.38307226,9.76116,0.95804054,0.47499225,9.748176,NaN,NaN,NaN,0.050278235,-0.02873042,-0.0023942017
1698280200167,NaN,NaN,NaN,NaN,NaN,NaN,-0.002443461,0.0036651916,-0.0012217305,NaN,NaN,NaN
1698280200178,0.9624691,0.34715924,9.797073,NaN,NaN,NaN,-0.0012217305,0.0012217305,-0.0012217305,-0.023942016,-0.021547815,0.009576807
1698280200177,NaN,NaN,NaN,0.958717,0.4741642,9.74815,NaN,NaN,NaN,NaN,NaN,NaN
1698280200187,0.89782566,0.40222588,9.768343,0.9581205,0.4737306,9.748229,NaN,NaN,NaN,NaN,NaN,NaN
1698280200188,NaN,NaN,NaN,NaN,NaN,NaN,0.0012217305,-0.0036651916,-0.0012217305,0.023942016,-0.05746084,0.045489833
1698280200198,0.9624691,0.39025488,9.840169,0.9587434,0.4736324,9.748173,-0.002443461,0.0,0.0,NaN,NaN,NaN
1698280200197,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.04309563,0.007182605,0.016759412
1698280200208,0.89303726,0.3854665,9.742006,NaN,NaN,NaN,-0.0036651916,0.0,0.0,0.016759412,-0.0023942017,0.088585466
1698280200207,NaN,NaN,NaN,0.958909,0.47343007,9.748166,NaN,NaN,NaN,NaN,NaN,NaN
1698280200218,0.9911995,0.3854665,9.698911,NaN,NaN,NaN,NaN,NaN,NaN,-0.050278235,-0.007182605,-0.007182605
1698280200217,NaN,NaN,NaN,0.96098167,0.47375554,9.747947,0.0012217305,-0.004886922,-0.0012217305,NaN,NaN,NaN
1698280200227,0.93613285,0.37349546,9.78989,NaN,NaN,NaN,0.0012217305,0.0,0.0,0.045489833,-0.007182605,-0.050278235
1698280200228,NaN,NaN,NaN,0.96185255,0.473434,9.747876,NaN,NaN,NaN,NaN,NaN,NaN
1698280200237,1.0031705,0.38307226,9.847352,0.96220785,0.47236633,9.747892,NaN,NaN,NaN,NaN,NaN,NaN
1698280200238,NaN,NaN,NaN,NaN,NaN,NaN,0.0012217305,0.0,-0.0012217305,-0.007182605,-0.019153614,0.038307227
1698280200248,0.94331545,0.40940848,9.849746,0.9626806,0.47271356,9.747829,NaN,NaN,NaN,0.05746084,-0.009576807,0.095768064
1698280200247,NaN,NaN,NaN,NaN,NaN,NaN,-0.0012217305,0.0036651916,0.0,NaN,NaN,NaN
1698280200258,0.94810385,0.41180268,9.734824,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.01436521,0.09816227
1698280200257,NaN,NaN,NaN,0.9637136,0.47379032,9.747675,-0.002443461,-0.0036651916,0.0,NaN,NaN,NaN
1698280200268,0.89543146,0.33279404,9.765948,NaN,NaN,NaN,-0.002443461,-0.002443461,0.0,0.0023942017,0.016759412,-0.01436521
1698280200267,NaN,NaN,NaN,0.96357524,0.47189072,9.747781,NaN,NaN,NaN,NaN,NaN,NaN
1698280200277,0.8882488,0.33279404,9.782708,0.963375,0.4704154,9.747871,NaN,NaN,NaN,-0.047884032,-0.059855044,0.01436521
1698280200278,NaN,NaN,NaN,NaN,NaN,NaN,0.0012217305,-0.002443461,0.0,NaN,NaN,NaN
1698280200287,0.90740246,0.47884035,9.718064,0.9626248,0.47055942,9.747939,NaN,NaN,NaN,-0.055066638,-0.059855044,0.031124622
1698280200288,NaN,NaN,NaN,NaN,NaN,NaN,0.004886922,-0.0036651916,0.0,NaN,NaN,NaN
1698280200298,0.89543146,0.36391866,9.871294,0.9627886,0.4704321,9.747929,0.0012217305,0.0,0.0,-0.035913024,0.08619126,-0.031124622
1698280200308,0.94092125,0.38307226,9.82341,0.96436584,0.47185245,9.7477045,NaN,NaN,NaN,-0.047884032,-0.02873042,0.11971009
1698280200307,NaN,NaN,NaN,NaN,NaN,NaN,-0.004886922,0.002443461,-0.0012217305,NaN,NaN,NaN
1698280200318,0.91697925,0.4189853,9.782708,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1698280200317,NaN,NaN,NaN,0.96357405,0.47099605,9.747825,-0.002443461,-0.0036651916,0.0,-0.0023942017,-0.009576807,0.07182605
1698280200328,0.89782566,0.4357447,9.78989,NaN,NaN,NaN,NaN,NaN,NaN,-0.023942016,0.02633622,0.031124622
1698280200327,NaN,NaN,NaN,0.96422964,0.47174275,9.747724,-0.0036651916,-0.0012217305,0.0,NaN,NaN,NaN
1698280200338,0.9959879,0.38067806,9.809045,0.96550375,0.47111866,9.747627,-0.004886922,0.002443461,0.0012217305,-0.04309563,0.04309563,0.038307227
1698280200348,0.9624691,0.40462008,9.742006,0.9654663,0.46996462,9.747687,-0.0036651916,0.009773844,0.0012217305,NaN,NaN,NaN
